C964  24 01     BIT $01 = FF                    A:FF X:00 Y:00 P:66 SP:FB STACK: 00 00 C6 05
C966  A9 7F     LDA #$7F                        A:FF X:00 Y:00 P:E4 SP:FB STACK: 00 00 C6 05
C968  69 80     ADC #$80                        A:7F X:00 Y:00 P:64 SP:FB STACK: 00 00 C6 05
C96A  10 0B     BPL $C977                       A:FF X:00 Y:00 P:A4 SP:FB STACK: 00 00 C6 05
C96C  B0 09     BCS $C977                       A:FF X:00 Y:00 P:A4 SP:FB STACK: 00 00 C6 05
C96E  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:A4 SP:FB STACK: 00 00 C6 05
C970  D0 05     BNE $C977                       A:FF X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C972  70 03     BVS $C977                       A:FF X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C974  4C 7B C9  JMP $C97B                       A:FF X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C97B  EA        NOP                             A:FF X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C97C  38        SEC                             A:FF X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C97D  B8        CLV                             A:FF X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C97E  A9 7F     LDA #$7F                        A:FF X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C980  69 80     ADC #$80                        A:7F X:00 Y:00 P:25 SP:FB STACK: 00 00 C6 05
C982  D0 09     BNE $C98D                       A:00 X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C984  30 07     BMI $C98D                       A:00 X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C986  70 05     BVS $C98D                       A:00 X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
